t;ydata;fitted
0.0;42288.0;42288.0
1.0;48582.0;43744.1199028371
2.0;52547.0;45248.590042818454
3.0;57298.0;46802.891282868775
4.0;61913.0;48408.54119001529
5.0;67366.0;50067.09432802505
6.0;73522.0;51780.14250209971
7.0;79696.0;53549.314947227125
8.0;85778.0;55376.27851225915
9.0;91714.0;57262.73764717403
10.0;95391.0;59210.434535239925
11.0;99225.0;61221.148882001464
12.0;103228.0;63296.69792270582
13.0;108202.0;65438.93606977174
14.0;113525.0;67649.75469385319
15.0;117658.0;69931.0816619786
16.0;120479.0;72284.88082519927
17.0;123016.0;74713.15145296234
18.0;125098.0;77217.92740077624
19.0;127584.0;79801.27634127253
20.0;130450.0;82465.298665229
21.0;133830.0;85212.1265208436
22.0;137439.0;88043.92234829061
23.0;139897.0;90962.87759041057
24.0;141672.0;93971.21107674955
25.0;143457.0;97071.16719161917
26.0;145694.0;100265.01412638219
27.0;148046.0;103555.0415257992
28.0;150383.0;106943.55834755767
29.0;152438.0;110432.8902175085
30.0;154175.0;114025.3775317419
31.0;155193.0;117723.37148907526
32.0;156337.0;121529.23108304747
33.0;157641.0;125445.31996527956
34.0;159119.0;129474.00346530229
35.0;160758.0;133617.6440606942
36.0;161703.0;137878.59753335462
37.0;162496.0;142259.2089416497
38.0;163175.0;146761.807914705
39.0;163860.0;151388.7039093273
40.0;164807.0;156142.18126529336
41.0;166091.0;161024.4940378932
42.0;167300.0;166037.86051778306
43.0;168551.0;171184.4575649107
44.0;169218.0;176466.41472451043
45.0;169575.0;181885.80813950681
46.0;170508.0;187444.65414589903
47.0;171306.0;193144.90295657614
48.0;172239.0;198988.4318216581
49.0;173152.0;204977.0379535503
50.0;173772.0;211112.43179968378
51.0;174355.0;217396.2303874499
52.0;174697.0;223829.9490378716
53.0;175210.0;230414.99424436892
54.0;176007.0;237152.65758266236
55.0;176752.0;244044.10687992116
56.0;177212.0;251090.3785287124
57.0;177850.0;258292.37158776575
58.0;178281.0;265650.84015063813
59.0;178570.0;273166.38457028195
60.0;179002.0;280839.44532562135
61.0;179364.0;288670.2981782116
62.0;179717.0;296659.0442618436
63.0;180458.0;304805.60414591973
64.0;181196.0;313109.7147946655
65.0;181482.0;321570.92123281036
66.0;181815.0;330188.5702649209
