date;Mexico;US;Germany
2020-01-22;0.0;3.0349013657056145e-09;0.0
2020-01-23;0.0;3.0349013657056145e-09;0.0
2020-01-24;0.0;6.069802731411229e-09;0.0
2020-01-25;0.0;6.069802731411229e-09;0.0
2020-01-26;0.0;1.5174506828528073e-08;0.0
2020-01-27;0.0;1.5174506828528073e-08;1.201345506967804e-08
2020-01-28;0.0;1.5174506828528073e-08;4.805382027871216e-08
2020-01-29;0.0;1.8209408194233686e-08;4.805382027871216e-08
2020-01-30;0.0;1.8209408194233686e-08;4.805382027871216e-08
2020-01-31;0.0;2.4279210925644916e-08;6.006727534839019e-08
2020-02-01;0.0;2.4279210925644916e-08;9.610764055742432e-08
2020-02-02;0.0;2.4279210925644916e-08;1.2013455069678039e-07
2020-02-03;0.0;3.338391502276176e-08;1.4416146083613647e-07
2020-02-04;0.0;3.338391502276176e-08;1.4416146083613647e-07
2020-02-05;0.0;3.338391502276176e-08;1.4416146083613647e-07
2020-02-06;0.0;3.641881638846737e-08;1.4416146083613647e-07
2020-02-07;0.0;3.641881638846737e-08;1.561749159058145e-07
2020-02-08;0.0;3.641881638846737e-08;1.561749159058145e-07
2020-02-09;0.0;3.641881638846737e-08;1.6818837097549255e-07
2020-02-10;0.0;3.641881638846737e-08;1.6818837097549255e-07
2020-02-11;0.0;3.9453717754172986e-08;1.9221528111484863e-07
2020-02-12;0.0;3.9453717754172986e-08;1.9221528111484863e-07
2020-02-13;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-14;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-15;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-16;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-17;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-18;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-19;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-20;0.0;4.2488619119878606e-08;1.9221528111484863e-07
2020-02-21;0.0;4.855842185128983e-08;1.9221528111484863e-07
2020-02-22;0.0;4.855842185128983e-08;1.9221528111484863e-07
2020-02-23;0.0;4.855842185128983e-08;1.9221528111484863e-07
2020-02-24;0.0;4.855842185128983e-08;1.9221528111484863e-07
2020-02-25;0.0;4.855842185128983e-08;1.9221528111484863e-07
2020-02-26;0.0;4.855842185128983e-08;2.522825564632388e-07
2020-02-27;0.0;5.1593323216995446e-08;3.12349831811629e-07
2020-02-28;7.757951900698215e-09;5.1593323216995446e-08;6.367131186929361e-07
2020-02-29;3.103180760279286e-08;7.587253414264036e-08;7.928880345987506e-07
2020-03-01;3.878975950349108e-08;9.711684370257967e-08;1.4055742431523306e-06
2020-03-02;3.878975950349108e-08;1.669195751138088e-07;1.802018260451706e-06
2020-03-03;3.878975950349108e-08;2.245827010622155e-07;2.2585295530994713e-06
2020-03-04;3.878975950349108e-08;3.247344461305008e-07;2.8832292167227295e-06
