date;Mexico;US;Germany
2020-01-23;0;0;0
2020-01-24;0;0;0
2020-01-25;0;0;0
2020-01-26;0;0;0
2020-01-27;0;0;0
2020-01-28;0;0;0
2020-01-29;0;0;0
2020-01-30;0;0;0
2020-01-31;0;0;0
2020-02-01;0;0;0
2020-02-02;0;0;0
2020-02-03;0;0;0
2020-02-04;0;0;0
2020-02-05;0;0;0
2020-02-06;0;0;0
2020-02-07;0;0;0
2020-02-08;0;0;0
2020-02-09;0;0;0
2020-02-10;0;0;0
2020-02-11;0;0;0
2020-02-12;0;0;0
2020-02-13;0;0;0
2020-02-14;0;0;0
2020-02-15;0;0;0
2020-02-16;0;0;0
2020-02-17;0;0;0
2020-02-18;0;0;0
2020-02-19;0;0;0
2020-02-20;0;0;0
2020-02-21;0;0;0
2020-02-22;0;0;0
2020-02-23;0;0;0
2020-02-24;0;0;0
2020-02-25;0;0;0
2020-02-26;0;0;0
2020-02-27;0;0;0
2020-02-28;0;0;0
2020-02-29;0;1;0
2020-03-01;0;1;0
2020-03-02;0;6;0
2020-03-03;0;7;0
2020-03-04;0;11;0
2020-03-05;0;12;0
2020-03-06;0;14;0
2020-03-07;0;17;0
2020-03-08;0;21;0
2020-03-09;0;22;2
2020-03-10;0;28;2
2020-03-11;0;33;3
2020-03-12;0;43;5
2020-03-13;0;51;5
2020-03-14;0;58;8
2020-03-15;0;70;12
2020-03-16;0;97;12
2020-03-17;0;134;12
2020-03-18;0;194;12
2020-03-19;1;266;20
2020-03-20;2;372;31
2020-03-21;2;475;47
2020-03-22;3;603;55
2020-03-23;4;790;86
2020-03-24;5;1033;114
2020-03-25;6;1366;149
2020-03-26;8;1783;198
2020-03-27;12;2305;253
2020-03-28;16;3018;325
2020-03-29;20;3573;389
2020-03-30;28;4280;455
2020-03-31;29;5359;583
2020-04-01;37;6655;732
2020-04-02;50;8160;872
2020-04-03;60;9591;1017
2020-04-04;79;11192;1158
2020-04-05;94;12817;1342
2020-04-06;125;14545;1434
2020-04-07;141;17121;1607
2020-04-08;174;19280;1861
2020-04-09;194;21484;2107
2020-04-10;233;23669;2373
2020-04-11;273;25809;2544
2020-04-12;296;27706;2673
2020-04-13;332;29691;2799
2020-04-14;406;32159;2969
2020-04-15;449;34752;3254
2020-04-16;486;36935;3569
2020-04-17;546;39032;3868
2020-04-18;650;40977;4110
2020-04-19;686;42957;4294
