Date;Mexico;US;Germany
2020-12-27;0.0;0.0;11.0
2020-12-28;0.0;0.0;11.0
2020-12-29;0.0;0.0;600.0
2020-12-30;0.0;0.0;604.0
2020-12-31;0.0;0.0;744.0
2021-01-01;0.0;0.0;744.0
2021-01-02;0.0;0.0;1020.0
2021-01-03;0.0;0.0;1021.0
2021-01-04;0.0;0.0;1021.0
2021-01-05;0.0;0.0;1046.0
2021-01-06;0.0;0.0;1047.0
2021-01-07;0.0;0.0;1051.0
2021-01-08;0.0;0.0;1369.0
2021-01-09;0.0;0.0;1415.0
2021-01-10;0.0;0.0;1423.0
2021-01-11;0.0;0.0;1471.0
2021-01-12;0.0;0.0;1521.0
2021-01-13;0.0;0.0;1717.0
2021-01-14;0.0;1342086.0;1900.0
2021-01-15;1958.0;1610524.0;2501.0
2021-01-16;2221.0;1610524.0;3400.0
2021-01-17;3434.0;1610524.0;20585.0
2021-01-18;6546.0;1610524.0;36315.0
2021-01-19;9609.0;2023124.0;69756.0
2021-01-20;11402.0;2161419.0;121404.0
2021-01-21;18018.0;2394961.0;162135.0
2021-01-22;20083.0;2756953.0;196835.0
2021-01-23;22472.0;3027865.0;241772.0
2021-01-24;25185.0;3216836.0;266155.0
2021-01-25;28715.0;3346390.0;304221.0
2021-01-26;31314.0;3481921.0;352868.0
2021-01-27;31314.0;3801053.0;412538.0
2021-01-28;31314.0;4263056.0;458950.0
2021-01-29;31397.0;4780888.0;516288.0
2021-01-30;39009.0;5259693.0;568579.0
2021-01-31;41842.0;5657142.0;600009.0
2021-02-01;43455.0;5927847.0;661807.0
2021-02-02;45748.0;6064792.0;728830.0
2021-02-03;54162.0;6436931.0;823993.0
2021-02-04;60742.0;6926050.0;894508.0
2021-02-05;64246.0;7503864.0;972131.0
2021-02-06;73100.0;8317180.0;1025166.0
2021-02-07;75836.0;9147185.0;1051237.0
2021-02-08;79429.0;9518015.0;1107937.0
2021-02-09;79429.0;9840429.0;1182129.0
2021-02-10;84592.0;10469514.0;1257741.0
2021-02-11;85332.0;11188782.0;1326123.0
2021-02-12;85887.0;12085830.0;1401084.0
2021-02-13;86188.0;13082172.0;1447152.0
2021-02-14;86188.0;14077440.0;1472215.0
2021-02-15;86198.0;14077440.0;1528028.0
2021-02-16;86198.0;15015434.0;1581771.0
2021-02-17;99666.0;15471536.0;1637606.0
2021-02-18;99666.0;16162358.0;1688769.0
2021-02-19;418931.0;17039118.0;1742635.0
2021-02-20;445418.0;17895667.0;1780456.0
2021-02-21;453055.0;18865319.0;1809448.0
2021-02-22;456217.0;19438495.0;1869890.0
2021-02-23;464302.0;19882544.0;1929584.0
2021-02-24;475389.0;20607261.0;1988866.0
2021-02-25;526412.0;21555117.0;2047293.0
2021-02-26;562311.0;22613359.0;2112379.0
2021-02-27;565377.0;23698627.0;2152533.0
2021-02-28;565423.0;24779920.0;2176824.0
2021-03-01;567338.0;25466405.0;2226122.0
2021-03-02;570582.0;26162122.0;2279743.0
2021-03-03;589639.0;26957804.0;2348693.0
2021-03-04;589639.0;27795980.0;2411347.0
2021-03-05;603134.0;28701201.0;2478740.0
2021-03-06;603447.0;29776160.0;2528037.0
2021-03-07;603447.0;30686881.0;2562498.0
2021-03-08;604339.0;31493040.0;2614972.0
2021-03-09;605801.0;32102061.0;2669742.0
2021-03-10;606000.0;32904161.0;2735387.0
2021-03-11;606000.0;33863127.0;2796299.0
2021-03-12;609460.0;35000159.0;2867887.0
2021-03-13;609874.0;36929777.0;2917341.0
2021-03-14;609881.0;37459269.0;2953338.0
2021-03-15;609889.0;38335432.0;3012196.0
2021-03-16;609889.0;39042345.0;3079217.0
2021-03-17;626881.0;39989196.0;3158690.0
2021-03-18;646802.0;40981464.0;3234174.0
2021-03-19;646802.0;41934629.0;3316952.0
2021-03-20;695667.0;43036818.0;3370847.0
2021-03-21;716768.0;44141228.0;3409625.0
2021-03-22;734463.0;44910946.0;3485776.0
2021-03-23;734463.0;45533962.0;3569511.0
2021-03-24;767979.0;46365515.0;3657758.0
2021-03-25;783790.0;47419832.0;3737883.0
2021-03-26;811884.0;48695172.0;3826636.0
2021-03-27;823284.0;50141769.0;3889821.0
2021-03-28;823284.0;51593564.0;3942568.0
2021-03-29;850939.0;52614231.0;4031601.0
2021-03-30;850939.0;53423486.0;4124963.0
2021-03-31;945839.0;54607041.0;4228037.0
2021-04-01;945839.0;56089614.0;4320458.0
2021-04-02;1058315.0;57984785.0;4392072.0
2021-04-03;1083530.0;59858146.0;4458108.0
2021-04-04;1111764.0;61416536.0;4511679.0
2021-04-05;1174175.0;62392065.0;4585098.0
2021-04-06;1303245.0;63016976.0;4684252.0
2021-04-07;1472382.0;64422618.0;4781367.0
2021-04-08;1664658.0;66203123.0;4871126.0
2021-04-09;1855048.0;68202458.0;4959476.0
2021-04-10;1976517.0;70692645.0;5024948.0
2021-04-11;2069821.0;72630892.0;5075044.0
2021-04-12;2223846.0;74066085.0;5151869.0
2021-04-13;2632006.0;75322283.0;5225272.0
2021-04-14;2954683.0;76681252.0;5308658.0
2021-04-15;3286908.0;78498290.0;5379432.0
2021-04-16;3681064.0;80609818.0;5454784.0
2021-04-17;3844491.0;82471151.0;5511065.0
2021-04-18;3927307.0;84263408.0;5550290.0
2021-04-19;4111121.0;85365180.0;5610905.0
2021-04-20;4512826.0;86223506.0;5672168.0
2021-04-21;4978670.0;87592646.0;5743575.0
2021-04-22;5347232.0;89245776.0;5809219.0
2021-04-23;5646105.0;91175995.0;5876333.0
2021-04-24;5830079.0;93078040.0;5935836.0
2021-04-25;5917676.0;94772329.0;5983390.0
2021-04-26;6096954.0;95888088.0;6056202.0
2021-04-27;6096954.0;96747454.0;6146031.0
2021-04-28;6752282.0;98044421.0;6271855.0
2021-04-29;7100269.0;99668945.0;6402358.0
2021-04-30;7440439.0;101407318.0;6538709.0
2021-05-01;7650150.0;103422555.0;6614360.0
2021-05-02;7792707.0;104774652.0;6681686.0
2021-05-03;7792707.0;105523520.0;6795868.0
2021-05-04;8418291.0;106168588.0;6954185.0
2021-05-05;8790655.0;107346533.0;7171671.0
2021-05-06;9092249.0;108926627.0;7376697.0
2021-05-07;9325576.0;110874920.0;7575536.0
2021-05-08;9440251.0;112626771.0;7715438.0
2021-05-11;9486795.0;116576359.0;8022890.0
2021-05-12;9486795.0;117647439.0;8320680.0
2021-05-13;9861173.0;118987308.0;8822370.0
2021-05-14;10108593.0;120258637.0;9060934.0
2021-05-15;10108593.0;121768268.0;9060934.0
2021-05-16;10604476.0;123282685.0;9060934.0
2021-05-17;10652500.0;123828224.0;9332160.0
2021-05-18;10652500.0;124455693.0;9891955.0
2021-05-19;11131624.0;125453423.0;9901626.0
2021-05-20;11384107.0;126605166.0;10915832.0
2021-05-21;11384107.0;127778250.0;11343644.0
2021-05-22;11720188.0;129006463.0;11343644.0
2021-05-23;11810709.0;130014175.0;11343644.0
2021-05-24;11810709.0;130615797.0;11896572.0
2021-05-25;11832208.0;131078608.0;11896572.0
2021-05-26;11832208.0;131850089.0;13053626.0
2021-05-27;11919690.0;132769894.0;13674483.0
2021-05-28;11919690.0;133532544.0;14197101.0
2021-05-29;12320589.0;134418748.0;14197101.0
2021-05-30;12390240.0;134418748.0;14615052.0
2021-05-31;12415247.0;135087319.0;14615052.0
2021-06-01;12604789.0;135867425.0;15604092.0
2021-06-02;12919455.0;136155250.0;16318175.0
2021-06-03;13417362.0;136644618.0;16708899.0
2021-06-04;13801863.0;137455367.0;17240975.0
2021-06-05;14118256.0;138112702.0;17240975.0
2021-06-06;14118256.0;138969323.0;17240975.0
2021-06-07;14172467.0;139748661.0;18187186.0
2021-06-08;14193288.0;140441957.0;18187186.0
2021-06-09;14358881.0;140980110.0;19857285.0
2021-06-10;14639188.0;141583252.0;20648461.0
2021-06-11;14747978.0;142095530.0;20648461.0
2021-06-12;14911487.0;143119077.0;21350096.0
2021-06-13;14911487.0;143921222.0;21350096.0
2021-06-14;15062873.0;144919339.0;21812429.0
