t;ydata;fitted
0.0;717.0;717.0
1.0;848.0;757.3805245046576
2.0;993.0;800.0335896411459
3.0;1094.0;845.0869005980662
4.0;1215.0;892.6753165738962
5.0;1378.0;942.941248126471
6.0;1510.0;996.0350799615005
7.0;1688.0;1052.1156123179383
8.0;1890.0;1111.3505295960952
9.0;2143.0;1173.916891227905
10.0;2439.0;1240.0016536664948
11.0;2785.0;1309.8022174259695
12.0;3181.0;1383.5270058722588
13.0;3441.0;1461.3960743510863
14.0;3844.0;1543.641752911244
15.0;4219.0;1630.509323902859
16.0;4661.0;1722.2577276548866
17.0;5014.0;1819.160327726791
18.0;5399.0;1921.5056960817749
19.0;5847.0;2029.598446146923
20.0;6297.0;2143.760113960447
21.0;6875.0;2264.330085091348
22.0;7497.0;2391.6665631788223
23.0;8261.0;2526.1476000401
24.0;8772.0;2668.172175305514
25.0;9501.0;2818.1613305209394
26.0;10544.0;2976.5593649971875
27.0;11633.0;3143.8350923584453
28.0;12872.0;3320.483160429175
29.0;13842.0;3507.025442602569
30.0;14677.0;3704.0124939749885
31.0;15529.0;3912.0250875732027
32.0;16752.0;4131.675822308862
33.0;17799.0;4363.6108146203915
34.0;19224.0;4608.511471722658
35.0;20739.0;4867.096347980744
36.0;22088.0;5140.1231024440885
37.0;23471.0;5428.390542300198
38.0;24905.0;5732.740758870555
39.0;26025.0;6054.061376688093
40.0;27634.0;6393.287898628173
41.0;29616.0;6751.406157123206
42.0;31522.0;7129.454882315275
43.0;33460.0;7528.528380888454
44.0;35022.0;7949.779332527677
45.0;36327.0;8394.421703646443
46.0;38324.0;8863.733790081502
47.0;40186.0;9359.061384742223
48.0;42595.0;9881.82105601453
49.0;45032.0;10433.503579818394
50.0;47144.0;11015.6774958324
51.0;49219.0;11629.992760421177
52.0;51633.0;12278.184583627064
53.0;54346.0;12962.077376922294
54.0;56594.0;13683.588773158697
55.0;59567.0;14444.733868824076
56.0;62527.0;15247.629543837611
57.0;65856.0;16094.498816199764
58.0;68620.0;16987.675465111948
59.0;71105.0;17929.608669849506
60.0;74560.0;18922.86763176333
61.0;78023.0;19970.146516879628
62.0;81400.0;21074.269313241566
63.0;84627.0;22238.194603898613
64.0;87512.0;23465.020714721693
65.0;90664.0;24757.990623861588
66.0;93435.0;26120.496704336256
67.0;97326.0;27556.08588844356
68.0;101238.0;29068.46437552398
69.0;105680.0;30661.502078075846
70.0;110026.0;32339.237513513406
71.0;113619.0;34105.881943985434
72.0;117103.0;35965.8231529259
73.0;120102.0;37923.6296428425
74.0;124301.0;39984.05370227239
75.0;129184.0;42152.034008562136
76.0;133974.0;44432.69854352315
77.0;139196.0;46831.36592012846
78.0;142690.0;49353.54615164659
79.0;146837.0;52004.94149569765
80.0;150264.0;54791.44520020056
81.0;154863.0;57719.13959211457
82.0;159793.0;60794.29384273886
83.0;165455.0;64023.359124216935
84.0;170485.0;67412.96295682367
85.0;175202.0;70969.9026843664
86.0;180545.0;74701.13588329787
87.0;185122.0;78613.76970932231
88.0;191410.0;82715.04869576951
89.0;196847.0;87012.33918615582
90.0;202951.0;91513.11226347444
91.0;208392.0;96224.92440499435
92.0;212802.0;101155.39476891699
93.0;216852.0;106312.18023173616
94.0;220657.0;111702.94753260614
95.0;226089.0;117335.34250335826
96.0;231770.0;123216.95586488936
97.0;238511.0;129355.28587373045
98.0;245251.0;135757.69910921663
99.0;252165.0;142431.38609932695
100.0;256848.0;149383.3142436128
101.0;261750.0;156620.18060881126
102.0;268008.0;164148.35729420546
103.0;275003.0;171973.83561883244
104.0;282283.0;180102.1725283959
105.0;289174.0;188538.42698353127
106.0;295268.0;197287.0977910065
107.0;299750.0;206352.06588061637
108.0;304435.0;215736.5281436197
109.0;311486.0;225442.93379961382
110.0;317635.0;235472.92074304202
111.0;324041.0;245827.2535758795
112.0;331298.0;256505.76814028164
113.0;338913.0;267507.31106375105
114.0;344224.0;278829.68918721285
115.0;349396.0;290469.62114795786
116.0;356255.0;302422.6953076577
117.0;362274.0;314683.3360590719
118.0;370712.0;327244.77464543487
119.0;378285.0;340099.03159276635
120.0;385036.0;353236.90697458864
121.0;390516.0;366647.98065966985
122.0;395489.0;380320.62385212246
123.0;402697.0;394242.02251920983
124.0;408449.0;408398.20915714826
125.0;416179.0;422774.1118734158
126.0;424637.0;437353.6084625535
127.0;434193.0;452119.5968383964
128.0;439046.0;467054.0760576608
129.0;443813.0;482138.2315201898
130.0;449961.0;497352.5414778553
131.0;456100.0;512676.87777336774
132.0;462690.0;528090.6260509138
133.0;469407.0;543572.8054536306
134.0;475902.0;559102.1912071272
135.0;480278.0;574657.4486605274
136.0;485836.0;590217.2561360685
137.0;492522.0;605760.4392358185
138.0;498380.0;621266.0952934634
139.0;505751.0;636713.7164882539
140.0;511369.0;652083.3094862992
141.0;517714.0;667355.5055885287
