t;ydata;fitted
0.0;105253.0;105253.0
1.0;127417.0;110158.0567287042
2.0;143544.0;115289.4000797068
3.0;165698.0;120657.25013310346
4.0;192079.0;126272.26789165153
5.0;223254.0;132145.5720262837
6.0;255530.0;138288.75644557152
7.0;287931.0;144713.90826340183
8.0;319776.0;151433.62620748935
9.0;349016.0;158461.03901340556
10.0;380798.0;165809.82525960304
11.0;410834.0;173494.23283619632
12.0;441897.0;181529.09854346234
13.0;477507.0;189929.86892835863
14.0;511790.0;198712.62039641885
15.0;540714.0;207894.08044525282
16.0;567022.0;217491.64856155362
17.0;594165.0;227523.41769006575
18.0;622493.0;238008.19532090423
19.0;648390.0;248965.52518425416
20.0;678028.0;260415.7082609245
21.0;711135.0;272379.82433620456
22.0;738464.0;284879.7523887248
23.0;763886.0;297938.1923774343
24.0;793970.0;311578.6850246454
25.0;820045.0;325825.62986994785
26.0;849926.0;340704.307318215
27.0;881891.0;356240.89379057934
28.0;913856.0;372462.47985064914
29.0;944770.0;389397.0878466896
30.0;970741.0;407073.68197609053
31.0;995391.0;425522.18556746526
32.0;1019964.0;444773.4904062985
33.0;1046816.0;464859.4626394846
34.0;1076518.0;485812.9553332102
35.0;1111410.0;507667.80595870933
36.0;1138174.0;530458.8401466743
37.0;1161907.0;554221.87194822
38.0;1185709.0;578993.6897823864
39.0;1209728.0;604812.0550807241
40.0;1234210.0;631715.6839025596
41.0;1261949.0;659744.2239003736
42.0;1289132.0;688938.2397015314
43.0;1313586.0;719339.1721065831
44.0;1332333.0;750989.3080600245
45.0;1351410.0;783931.7412447272
46.0;1374792.0;818210.3110754677
47.0;1394807.0;853869.5593545942
48.0;1420697.0;890954.6584905487
49.0;1445548.0;929511.3350876417
50.0;1469598.0;969585.8000143475
51.0;1488327.0;1011224.6434893511
52.0;1510635.0;1054474.7430022904
53.0;1531138.0;1099383.1548789833
54.0;1553964.0;1145996.9814676759
55.0;1579116.0;1194363.2535246063
56.0;1602945.0;1244528.7798679846
57.0;1623134.0;1296539.9920146007
58.0;1643308.0;1350442.7874524794
